UKPRN,Institution name,Main panel,UOA name,2013,2014,2015,2016,2017,2018,2019,Total,Average,Region
10007814,Cardiff University / Prifysgol Caerdydd,B,Engineering,52.0,59.0,37.5,72.0,82.0,68.0,45.5,416.0,59.42857142857143,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,"Architecture, Built Environment and Planning",9.0,7.0,11.0,10.0,14.0,13.5,8.0,72.5,10.357142857142858,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Geography and Environmental Studies,6.0,13.0,6.0,6.0,12.0,7.5,5.0,55.5,7.928571428571429,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Archaeology,4.0,4.0,9.0,6.0,2.0,6.0,2.0,33.0,4.714285714285714,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Business and Management Studies,22.0,32.0,19.0,21.0,19.5,23.0,10.0,146.5,20.928571428571427,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Law,1.0,2.0,3.5,5.5,6.0,0.0,4.0,22.0,3.142857142857143,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Politics and International Studies,0.0,3.5,4.0,3.0,4.0,2.5,2.5,19.5,2.7857142857142856,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Sociology,17.5,13.5,11.5,13.5,14.5,14.5,14.5,99.5,14.214285714285714,Wales
10007814,Cardiff University / Prifysgol Caerdydd,C,Education,6.5,11.0,7.5,11.5,7.5,8.0,2.5,54.5,7.785714285714286,Wales
10007814,Cardiff University / Prifysgol Caerdydd,D,Modern Languages and Linguistics,2.5,5.5,1.0,9.0,8.5,8.5,3.0,38.0,5.428571428571429,Wales
